latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
42.55154,13.85385,303.91,1.34,1.15,2026-08-08,330,Aqua,MODIS,58,6.1NRT,292.07,8.07,N
37.82339,12.54937,320.86,1.1,1.05,2026-08-08,826,Terra,MODIS,58,6.1NRT,307.94,7.3,D
38.12995,15.70767,312.87,1.54,1.22,2026-08-08,826,Terra,MODIS,56,6.1NRT,298.97,10.29,D
41.49982,15.7667,336.14,1.33,1.14,2026-08-08,826,Terra,MODIS,86,6.1NRT,308.11,33.8,D
41.501,15.76062,342.88,1.33,1.14,2026-08-08,826,Terra,MODIS,91,6.1NRT,308.76,53.54,D
41.50263,15.75154,347.38,1.32,1.14,2026-08-08,826,Terra,MODIS,93,6.1NRT,308.93,64.22,D
41.50374,15.74543,328.09,1.32,1.14,2026-08-08,826,Terra,MODIS,79,6.1NRT,308.27,20.76,D
41.5167,15.78811,327.53,1.33,1.14,2026-08-08,826,Terra,MODIS,78,6.1NRT,308.5,17.23,D
43.40095,18.13938,311.41,1.6,1.25,2026-08-08,826,Terra,MODIS,34,6.1NRT,296.71,12.87,D
43.40631,18.12755,311.76,1.6,1.24,2026-08-08,826,Terra,MODIS,46,6.1NRT,297.29,13.42,D
37.24102,14.42466,325.98,1.49,1.21,2026-08-08,1431,Aqua,MODIS,43,6.1NRT,308.82,15.88,D
37.24667,14.41627,327.77,1.49,1.21,2026-08-08,1431,Aqua,MODIS,58,6.1NRT,307.03,22.88,D
37.3138,13.79527,324.97,1.38,1.16,2026-08-08,1431,Aqua,MODIS,60,6.1NRT,307.22,13.18,D
45.79299,13.5715,321.76,1.74,1.29,2026-08-08,1433,Aqua,MODIS,54,6.1NRT,303.08,21.66,D
37.34755,13.5133,316.57,1.02,1.01,2026-08-08,1930,Terra,MODIS,92,6.1NRT,298.84,10.8,N
37.34898,13.52435,311.76,1.02,1.01,2026-08-08,1930,Terra,MODIS,79,6.1NRT,298.43,6.75,N
37.40779,13.48932,318.31,1.02,1.01,2026-08-08,1930,Terra,MODIS,96,6.1NRT,299.13,12.48,N
37.73675,12.69418,312.01,1,1,2026-08-08,1930,Terra,MODIS,82,6.1NRT,299.33,7.41,N
37.91683,13.21973,311.46,1.02,1.01,2026-08-08,1930,Terra,MODIS,81,6.1NRT,297.71,8.14,N
39.46839,16.19944,307.08,1.34,1.15,2026-08-08,1930,Terra,MODIS,51,6.1NRT,294.62,6.89,N
40.63374,16.90621,334.02,1.51,1.21,2026-08-08,1930,Terra,MODIS,100,6.1NRT,298.26,56.79,N
40.63537,16.92358,342,1.51,1.21,2026-08-08,1930,Terra,MODIS,100,6.1NRT,299.11,80.15,N
40.63768,16.8996,313.97,1.51,1.21,2026-08-08,1930,Terra,MODIS,87,6.1NRT,297.31,17.75,N
40.63923,16.91717,344.09,1.51,1.21,2026-08-08,1930,Terra,MODIS,100,6.1NRT,299.42,88.21,N
41.39544,15.28038,304.38,1.27,1.12,2026-08-08,1930,Terra,MODIS,20,6.1NRT,285.35,7.05,N
41.5555,12.9938,339.07,1.05,1.03,2026-08-08,1930,Terra,MODIS,100,6.1NRT,298.22,42.4,N
41.56442,12.99158,317.41,1.05,1.03,2026-08-08,1930,Terra,MODIS,95,6.1NRT,296.6,13.65,N
